Date,Coking_Coal,Thermal_Coal,Iron_Ore,Manganese_Ore,Limestone
2025-08-16,206.07,124.57,123.29,302.39,42.26
2025-08-17,201.84,125.29,123.12,301.86,42.12
2025-08-18,201.79,125.23,123.31,299.05,42.08
2025-08-19,201.92,125.54,124.09,300.64,42.09
2025-08-20,207.34,124.3,124.54,300.5,41.84
2025-08-21,206.91,126.99,124.68,300.17,42.03
2025-08-22,207.58,127.13,125.0,305.92,41.9
2025-08-23,207.5,127.25,127.17,306.46,41.84
2025-08-24,204.93,128.05,127.12,305.1,41.59
2025-08-25,207.45,128.58,127.3,304.34,40.95
2025-08-26,209.1,128.83,128.24,306.4,40.9
2025-08-27,210.84,127.96,129.24,306.61,41.51
2025-08-28,208.84,128.47,130.31,304.02,41.7
2025-08-29,211.93,130.54,130.88,305.67,41.7
2025-08-30,208.84,132.02,129.85,304.47,41.63
2025-08-31,210.13,133.78,131.32,307.84,41.64
2025-09-01,214.95,133.22,130.29,309.79,41.78
2025-09-02,212.77,132.13,130.56,308.98,41.48
2025-09-03,211.53,131.99,129.88,311.29,41.76
2025-09-04,211.75,132.05,129.83,311.41,41.94
2025-09-05,210.64,133.25,130.12,312.94,42.12
2025-09-06,207.23,131.39,130.41,313.82,42.23
2025-09-07,207.38,133.07,130.79,312.29,42.23
2025-09-08,205.04,132.9,132.24,311.13,42.4
2025-09-09,206.08,132.43,132.65,312.99,42.55
2025-09-10,204.06,131.32,132.43,312.39,42.46
2025-09-11,207.47,129.5,133.3,311.66,42.32
2025-09-12,205.75,130.4,134.37,309.94,42.34
2025-09-13,205.04,130.48,133.26,310.7,42.73
2025-09-14,206.83,129.06,133.8,314.41,42.42
2025-09-15,204.12,127.64,134.43,312.49,42.05
2025-09-16,204.62,127.27,134.17,312.54,42.09
2025-09-17,207.5,129.11,135.4,315.08,42.11
2025-09-18,203.96,128.82,135.27,314.94,42.15
2025-09-19,204.37,127.17,135.38,315.75,42.21
2025-09-20,204.94,126.9,135.23,313.84,42.15
2025-09-21,206.66,126.6,135.24,314.61,42.53
2025-09-22,203.94,123.63,134.25,314.27,42.13
2025-09-23,201.03,123.57,132.96,316.05,41.92
2025-09-24,202.18,123.32,134.39,318.18,41.89
2025-09-25,202.83,124.08,133.63,322.84,41.48
2025-09-26,203.38,126.12,132.74,323.89,41.44
2025-09-27,204.15,127.36,130.8,324.47,41.85
2025-09-28,202.65,127.06,130.22,324.82,41.86
2025-09-29,203.16,125.84,129.03,324.19,41.92
2025-09-30,203.81,128.67,130.51,324.8,41.6
2025-10-01,202.23,128.74,131.42,324.27,41.45
2025-10-02,206.34,128.75,130.8,324.57,41.35
2025-10-03,207.38,128.73,132.83,326.94,41.28
2025-10-04,204.76,128.94,133.71,325.13,41.6
2025-10-05,206.2,128.79,133.42,327.18,41.74
2025-10-06,204.06,128.15,131.17,329.55,41.46
2025-10-07,205.79,127.55,133.23,329.34,41.52
2025-10-08,208.34,127.52,131.98,325.52,41.64
2025-10-09,206.53,126.92,130.5,324.43,41.93
2025-10-10,208.65,126.14,131.42,326.76,42.32
2025-10-11,209.56,126.25,133.62,326.72,42.07
2025-10-12,211.37,125.97,134.86,324.92,41.87
2025-10-13,215.54,127.63,135.37,324.01,41.55
2025-10-14,215.0,124.71,135.91,325.53,41.49
2025-10-15,213.35,125.91,136.67,326.51,41.61
2025-10-16,211.39,127.28,137.36,326.08,41.86
2025-10-17,209.59,125.0,137.61,325.42,41.84
2025-10-18,209.42,124.62,137.7,324.71,41.76
2025-10-19,210.18,124.22,137.65,323.05,41.8
2025-10-20,210.78,122.67,136.97,325.96,41.59
2025-10-21,212.6,121.81,136.72,325.38,42.11
2025-10-22,212.63,120.59,135.19,327.57,41.71
2025-10-23,215.83,122.52,135.1,330.31,41.75
2025-10-24,215.25,123.55,134.21,332.11,42.26
2025-10-25,221.23,124.95,133.22,331.33,42.26
2025-10-26,222.61,125.74,133.38,332.06,42.21
2025-10-27,220.72,124.5,134.64,332.01,42.13
2025-10-28,218.37,123.92,135.46,330.39,42.08
2025-10-29,219.43,124.46,134.05,330.97,42.42
2025-10-30,218.94,123.11,133.16,328.85,41.87
2025-10-31,220.51,123.9,134.0,330.99,42.25
2025-11-01,221.55,123.63,133.12,330.15,41.9
2025-11-02,221.39,123.22,132.92,330.51,41.83
2025-11-03,219.53,124.0,133.41,331.02,41.72
2025-11-04,216.19,124.49,132.54,330.56,41.87
2025-11-05,215.21,124.1,132.64,331.61,41.47
2025-11-06,217.09,125.37,131.44,330.76,41.59
2025-11-07,217.57,124.18,130.89,332.33,42.09
2025-11-08,214.82,124.86,131.18,329.9,41.75
2025-11-09,215.21,125.51,129.75,330.13,41.8
2025-11-10,216.05,125.17,130.15,333.62,41.63
2025-11-11,214.11,125.53,130.13,331.82,41.74
2025-11-12,214.45,124.15,130.62,330.6,41.75
2025-11-13,214.58,125.17,130.83,331.52,41.59
2025-11-14,212.06,124.97,132.05,331.85,41.71
2025-11-15,212.85,124.39,132.17,332.48,42.16
2025-11-16,214.08,125.55,131.78,333.36,42.11
2025-11-17,216.46,124.77,131.89,334.5,42.29
2025-11-18,218.78,123.22,132.38,336.5,41.97
2025-11-19,215.75,121.51,132.42,337.24,41.73
2025-11-20,213.69,122.18,132.46,336.8,41.85
2025-11-21,214.82,120.77,131.83,338.01,42.22
2025-11-22,215.95,122.7,131.23,341.43,42.31
2025-11-23,217.09,120.41,129.97,341.19,42.23
2025-11-24,225.56,122.27,131.54,339.44,42.23
2025-11-25,226.82,122.51,130.42,341.43,41.91
2025-11-26,229.32,122.4,129.8,341.22,42.07
2025-11-27,231.41,121.8,129.15,337.31,42.29
2025-11-28,232.85,122.24,129.96,338.83,42.17
2025-11-29,232.15,122.2,129.69,337.87,42.06
2025-11-30,233.82,123.41,130.82,337.7,42.12
2025-12-01,232.12,123.54,130.21,338.3,42.01
2025-12-02,231.6,123.7,130.46,338.64,42.0
2025-12-03,230.53,123.3,129.71,339.92,42.52
2025-12-04,230.71,123.24,131.64,339.14,42.46
2025-12-05,235.81,123.58,130.57,340.06,42.37
2025-12-06,231.7,121.7,130.85,339.59,42.21
2025-12-07,233.21,120.21,131.42,340.92,42.39
2025-12-08,229.66,121.03,131.79,342.03,42.35
2025-12-09,228.62,121.22,131.63,340.35,42.19
2025-12-10,231.02,121.02,131.51,342.3,42.52
2025-12-11,231.16,121.04,131.55,341.34,42.87
2025-12-12,228.79,121.42,131.42,342.79,42.72
2025-12-13,227.21,120.83,132.28,343.45,42.26
2025-12-14,228.71,119.97,134.27,346.76,42.51
2025-12-15,227.1,120.19,133.77,346.36,42.34
2025-12-16,227.58,119.11,132.54,345.73,42.53
2025-12-17,227.68,119.56,132.46,345.7,42.04
2025-12-18,226.25,117.69,134.78,345.15,42.26
2025-12-19,230.96,118.82,134.06,346.59,41.96
2025-12-20,232.36,119.34,135.53,343.68,42.14
2025-12-21,227.9,119.62,137.04,341.78,42.15
2025-12-22,228.31,120.7,136.55,339.86,41.91
2025-12-23,226.86,122.53,137.06,341.57,41.81
2025-12-24,228.73,123.65,138.52,344.65,41.98
2025-12-25,226.99,121.62,138.18,344.46,42.01
2025-12-26,226.74,120.22,138.0,344.16,42.15
2025-12-27,227.85,119.53,137.47,344.29,42.65
2025-12-28,229.75,119.56,136.56,346.38,42.25
2025-12-29,227.11,120.13,135.98,344.71,42.66
2025-12-30,226.37,119.33,134.88,345.14,42.69
2025-12-31,225.33,119.53,134.91,346.89,42.46
2026-01-01,223.89,118.7,134.21,347.8,42.13
2026-01-02,227.78,118.03,134.42,348.14,42.08
2026-01-03,228.67,116.48,133.02,349.94,42.31
2026-01-04,225.89,115.47,133.32,345.07,42.28
2026-01-05,227.91,113.98,134.07,346.29,42.66
2026-01-06,232.58,112.91,132.28,345.12,42.29
2026-01-07,234.85,114.07,132.61,341.82,42.29
2026-01-08,231.51,113.02,133.72,342.74,41.98
2026-01-09,230.44,115.92,132.63,345.21,42.07
2026-01-10,233.23,116.46,134.14,344.97,42.29
2026-01-11,231.68,116.66,134.51,346.68,42.19
2026-01-12,232.65,115.72,133.88,349.58,41.53
2026-01-13,234.36,116.49,133.83,351.95,41.58
2026-01-14,232.32,115.86,134.33,354.9,41.69
2026-01-15,232.19,115.99,134.4,356.24,41.79
2026-01-16,225.05,118.81,134.88,356.37,42.1
2026-01-17,222.8,118.7,134.05,353.49,41.84
2026-01-18,222.25,119.96,134.21,353.05,42.01
2026-01-19,219.5,119.19,132.94,351.53,42.3
2026-01-20,223.09,119.15,132.83,355.44,41.86
2026-01-21,219.95,121.1,132.02,355.12,41.94
2026-01-22,218.98,120.41,131.36,355.34,41.81
2026-01-23,219.27,122.4,132.47,356.33,41.79
2026-01-24,222.44,123.18,133.45,356.41,41.88
2026-01-25,219.28,122.56,134.0,359.46,41.76
2026-01-26,221.84,123.26,133.02,358.34,41.59
2026-01-27,221.86,124.33,132.73,358.69,41.6
2026-01-28,219.7,125.01,133.83,357.36,41.33
2026-01-29,220.72,123.29,133.95,354.98,41.05
2026-01-30,221.15,122.49,136.04,353.88,41.22
2026-01-31,219.83,122.21,136.4,353.81,40.94
2026-02-01,219.99,122.13,136.57,353.04,41.1
2026-02-02,219.14,122.82,136.29,351.79,41.22
2026-02-03,219.39,123.01,136.41,349.26,40.79
2026-02-04,220.85,121.54,136.27,349.11,40.62
2026-02-05,224.33,121.96,136.91,346.4,40.92
2026-02-06,221.61,122.63,137.77,347.77,40.67
2026-02-07,226.3,123.25,137.06,347.92,40.56
2026-02-08,222.01,124.44,135.87,345.3,40.67
2026-02-09,221.68,125.35,134.21,344.74,40.87
2026-02-10,222.97,125.86,134.67,343.39,40.8
2026-02-11,223.59,125.78,133.68,343.96,40.65
2026-02-12,222.22,123.95,131.74,346.37,41.01
2026-02-13,221.76,124.43,132.09,343.0,41.44
2026-02-14,220.68,124.66,134.33,343.21,41.69
2026-02-15,219.38,124.95,134.33,342.92,41.71
2026-02-16,221.25,123.55,135.08,344.13,41.51
2026-02-17,222.03,122.36,135.16,344.51,41.3
2026-02-18,220.51,123.52,135.07,343.16,41.43
2026-02-19,222.49,123.48,135.89,342.58,41.54
2026-02-20,223.16,124.23,135.63,341.15,41.89
2026-02-21,224.95,124.26,135.87,343.09,42.05
2026-02-22,226.34,124.29,136.16,343.12,41.67
2026-02-23,224.51,125.32,135.56,346.55,41.94
2026-02-24,223.28,124.75,136.45,346.44,41.69
2026-02-25,224.93,124.86,136.3,345.16,41.59
2026-02-26,226.27,124.35,135.62,342.44,41.65
2026-02-27,226.22,123.87,136.1,339.19,42.15
2026-02-28,226.48,123.53,135.29,336.34,42.93
2026-03-01,229.29,123.78,135.32,336.82,43.08
2026-03-02,227.99,123.25,135.31,337.74,43.04
2026-03-03,229.19,124.63,136.29,334.89,43.17
2026-03-04,228.75,123.65,136.71,336.5,43.39
2026-03-05,228.27,123.44,136.69,335.63,43.31
2026-03-06,230.69,122.96,137.43,335.9,43.76
2026-03-07,232.5,124.55,138.68,338.8,43.82
2026-03-08,234.29,124.77,139.18,340.41,43.94
2026-03-09,237.17,125.9,139.19,339.93,44.11
2026-03-10,237.21,124.27,138.01,338.33,44.21
2026-03-11,238.71,124.56,137.05,334.45,44.42
2026-03-12,238.03,125.54,136.77,333.16,44.27
2026-03-13,238.74,125.63,136.23,332.78,44.13
2026-03-14,238.46,126.8,136.06,331.0,43.85
2026-03-15,238.67,126.23,136.11,330.76,43.96
2026-03-16,239.98,127.78,136.59,330.9,44.16
2026-03-17,238.18,130.31,136.52,330.5,44.27
2026-03-18,242.78,129.91,136.96,329.33,44.69
2026-03-19,240.57,129.42,137.02,329.63,44.69
2026-03-20,237.9,131.02,135.24,330.43,44.86
2026-03-21,240.45,132.76,134.39,328.46,44.59
2026-03-22,242.19,132.18,134.27,331.0,44.49
2026-03-23,243.56,131.72,133.18,330.83,44.66
2026-03-24,244.94,131.41,133.72,330.86,44.87
2026-03-25,244.92,129.93,135.09,332.14,44.8
2026-03-26,242.94,128.92,136.19,332.56,44.78
2026-03-27,243.11,127.82,136.0,334.27,44.4
2026-03-28,241.62,126.97,137.34,334.79,44.31
2026-03-29,243.76,126.94,137.47,333.69,44.54
2026-03-30,243.44,127.19,137.17,334.34,44.68
2026-03-31,241.62,128.9,136.62,332.28,44.81
2026-04-01,240.92,127.8,136.35,332.47,44.82
2026-04-02,241.83,128.88,136.0,332.41,44.82
2026-04-03,240.59,128.65,136.15,332.04,44.66
2026-04-04,238.78,128.59,136.3,331.81,44.83
2026-04-05,239.31,129.34,136.3,328.42,44.94
2026-04-06,239.85,128.1,136.69,327.43,45.06
2026-04-07,238.74,128.52,137.76,327.6,44.93
2026-04-08,237.7,128.7,138.62,327.89,44.39
2026-04-09,238.21,129.25,137.28,326.04,44.66
2026-04-10,235.02,129.56,134.98,328.32,44.54
2026-04-11,231.93,132.26,135.82,326.76,44.33
2026-04-12,230.35,131.56,134.59,328.5,44.5
2026-04-13,229.88,130.98,134.39,329.27,44.4
2026-04-14,230.56,130.29,133.34,328.11,44.67
2026-04-15,233.81,129.68,131.72,331.3,44.82
2026-04-16,235.69,128.98,132.2,329.15,44.99
2026-04-17,235.34,130.29,132.89,330.81,44.65
2026-04-18,235.3,131.85,132.37,332.61,44.95
2026-04-19,233.1,131.22,130.04,331.4,45.02
2026-04-20,233.05,130.31,129.54,333.91,44.93
2026-04-21,232.42,130.83,129.9,333.46,44.96
2026-04-22,233.13,130.22,128.57,333.98,44.52
2026-04-23,231.31,130.92,128.73,334.45,44.62
2026-04-24,232.45,131.14,128.72,334.21,44.36
2026-04-25,235.82,129.47,129.24,335.66,44.03
2026-04-26,235.58,131.17,129.35,337.09,43.64
2026-04-27,236.47,133.15,128.47,333.95,43.92
2026-04-28,237.99,132.48,129.55,336.29,43.77
2026-04-29,237.1,132.05,129.4,333.3,44.15
2026-04-30,237.6,132.36,129.38,335.16,44.02
2026-05-01,237.62,132.73,128.54,337.19,43.59
2026-05-02,237.84,133.46,128.14,335.22,43.31
2026-05-03,236.14,135.67,127.34,334.48,43.62
2026-05-04,236.19,135.47,127.19,332.49,43.58
2026-05-05,237.29,134.59,128.73,332.11,43.44
2026-05-06,240.48,133.08,127.49,331.55,43.48
2026-05-07,242.59,132.27,126.04,332.96,43.61
2026-05-08,247.33,132.24,127.37,335.31,43.89
2026-05-09,245.64,134.21,127.18,337.83,44.25
2026-05-10,247.56,133.64,126.58,336.81,44.16
2026-05-11,247.96,133.89,127.51,336.44,43.83
2026-05-12,252.78,133.87,126.97,333.41,43.72
2026-05-13,251.0,135.18,128.61,331.96,43.79
2026-05-14,249.15,137.96,129.22,333.69,43.55
2026-05-15,247.84,137.37,128.78,336.6,43.31
2026-05-16,243.16,136.83,130.72,334.38,43.4
2026-05-17,242.01,137.98,130.18,333.31,43.38
2026-05-18,240.34,138.73,130.85,333.27,43.39
2026-05-19,240.67,140.76,131.12,333.77,43.2
2026-05-20,241.42,141.41,132.29,332.31,43.14
2026-05-21,245.55,141.01,133.69,333.08,42.91
2026-05-22,247.64,141.66,133.72,332.22,43.14
2026-05-23,246.37,142.88,133.04,332.2,43.39
2026-05-24,244.39,143.78,133.46,333.18,42.93
2026-05-25,245.47,144.34,132.85,333.19,42.7
2026-05-26,242.57,145.51,134.66,332.41,42.33
2026-05-27,246.6,146.8,134.78,332.21,42.16
2026-05-28,249.19,148.32,134.45,332.05,42.14
2026-05-29,248.16,149.03,134.62,331.38,41.78
2026-05-30,244.39,148.85,133.41,330.92,41.55
2026-05-31,247.37,149.01,132.53,333.8,41.3
2026-06-01,247.12,150.34,133.61,334.81,41.35
2026-06-02,249.84,149.44,133.02,334.27,41.37
2026-06-03,246.34,149.85,132.08,335.53,41.19
2026-06-04,245.02,149.41,132.56,334.93,41.23
2026-06-05,245.03,149.44,133.63,337.04,41.1
2026-06-06,245.13,150.85,134.28,337.71,41.03
2026-06-07,244.14,151.06,135.17,337.51,41.45
2026-06-08,245.51,151.11,134.49,338.32,41.78
2026-06-09,243.16,149.62,133.21,335.49,41.46
2026-06-10,242.85,150.44,134.56,333.46,41.66
2026-06-11,243.11,151.15,134.27,331.31,41.87
2026-06-12,244.25,153.53,134.05,331.57,41.58
2026-06-13,245.81,153.19,135.24,334.69,41.78
2026-06-14,243.34,153.43,135.74,338.71,42.17
2026-06-15,239.96,153.7,136.15,339.85,41.89
2026-06-16,242.77,155.44,138.1,340.76,41.66
2026-06-17,243.5,155.33,137.52,337.51,41.91
2026-06-18,241.86,155.64,138.36,336.54,41.98
2026-06-19,245.27,156.31,138.41,335.12,42.12
2026-06-20,245.52,156.52,138.65,334.0,42.2
2026-06-21,248.12,156.02,140.03,333.7,42.3
2026-06-22,248.27,156.24,140.48,332.85,41.97
2026-06-23,252.8,157.42,140.97,329.29,42.23
2026-06-24,256.66,156.29,141.93,330.63,42.52
2026-06-25,256.12,156.44,141.6,328.7,42.47
2026-06-26,258.25,155.67,140.85,329.13,42.46
2026-06-27,259.67,156.98,139.91,332.87,42.07
2026-06-28,262.68,155.3,138.14,331.21,42.2
2026-06-29,260.56,154.69,139.99,326.66,42.34
2026-06-30,262.07,155.1,139.0,326.14,42.33
2026-07-01,264.4,156.83,138.8,328.12,42.61
2026-07-02,260.53,156.75,138.55,331.65,42.53
2026-07-03,257.93,156.14,138.83,329.43,42.67
2026-07-04,253.44,158.21,139.56,330.33,42.41
2026-07-05,252.85,156.62,140.33,329.49,42.41
2026-07-06,254.43,154.2,139.81,329.3,42.36
2026-07-07,257.73,154.69,139.66,334.06,42.42
2026-07-08,257.89,154.13,139.91,331.35,42.33
2026-07-09,261.48,153.01,139.69,331.81,42.29
2026-07-10,258.44,153.79,141.14,332.65,42.5
2026-07-11,254.69,154.06,141.58,334.61,42.39
2026-07-12,254.57,153.44,142.24,334.78,41.99
2026-07-13,255.42,152.03,142.84,335.34,42.43
2026-07-14,255.34,152.99,143.89,334.63,42.77
2026-07-15,250.8,153.7,144.05,335.12,42.45
2026-07-16,250.6,153.59,142.89,334.5,42.62
2026-07-17,247.73,155.63,143.25,335.62,42.5
2026-07-18,249.2,154.45,142.66,334.95,42.56
2026-07-19,250.01,152.77,142.19,335.63,42.64
2026-07-20,247.94,152.01,142.71,335.58,42.58
2026-07-21,246.81,151.96,143.83,337.61,42.38
2026-07-22,244.48,152.23,143.85,337.51,42.21
2026-07-23,244.34,151.96,144.12,334.32,41.98
2026-07-24,246.44,152.35,145.66,336.59,41.77
2026-07-25,244.28,150.97,145.87,334.96,41.75
2026-07-26,245.38,152.56,148.21,333.79,41.58
2026-07-27,244.22,152.47,148.72,332.71,41.75
2026-07-28,242.47,153.7,147.14,335.19,42.12
2026-07-29,242.24,154.08,147.82,331.34,41.97
2026-07-30,239.96,154.58,148.16,336.99,42.03
2026-07-31,238.74,155.21,149.32,338.89,42.16
2026-08-01,236.11,155.7,149.93,339.3,42.28
2026-08-02,240.43,156.4,149.8,339.2,42.29
2026-08-03,240.51,157.87,148.7,339.71,42.48
2026-08-04,238.97,158.08,148.51,340.65,42.6
2026-08-05,239.44,158.86,147.75,341.81,42.29
2026-08-06,239.19,158.76,147.22,342.81,42.51
2026-08-07,238.71,160.35,147.75,342.97,42.73
2026-08-08,240.06,159.6,149.26,342.62,42.54
2026-08-09,241.72,161.59,149.61,342.34,42.55
2026-08-10,240.56,161.54,148.54,341.99,42.72
2026-08-11,239.29,159.97,148.94,344.03,42.67
2026-08-12,238.68,160.11,150.01,345.1,42.94
2026-08-13,233.62,159.36,149.46,339.81,43.53
2026-08-14,230.29,160.28,149.34,340.99,43.33
2026-08-15,233.29,159.57,149.36,341.34,42.99
2026-08-16,236.91,159.07,148.65,341.31,43.06
2026-08-17,236.36,157.0,149.23,340.61,43.24
2026-08-18,237.63,156.5,149.13,342.63,43.18
2026-08-19,238.32,153.83,149.5,344.34,43.55
2026-08-20,245.09,152.09,148.7,342.95,43.21
2026-08-21,247.55,152.93,148.31,343.68,43.39
2026-08-22,247.27,153.79,148.96,341.93,43.23
2026-08-23,245.17,154.26,148.62,339.45,43.66
2026-08-24,241.64,153.2,150.18,338.32,44.16
2026-08-25,242.08,153.14,149.82,339.87,43.97
2026-08-26,240.42,153.14,150.02,341.59,43.83
2026-08-27,237.29,151.86,150.86,342.51,44.05
2026-08-28,235.87,153.52,149.58,343.81,43.95
2026-08-29,233.49,154.48,148.0,344.74,43.94
2026-08-30,237.2,154.24,146.63,343.59,43.95
2026-08-31,239.14,154.27,147.76,344.37,43.47
2026-09-01,239.12,154.5,147.27,345.81,43.46
2026-09-02,242.38,152.25,149.57,347.16,43.29
2026-09-03,242.55,151.98,149.06,349.3,43.17
2026-09-04,240.65,151.23,149.23,350.58,43.53
2026-09-05,244.01,150.13,150.61,351.21,43.21
2026-09-06,245.19,149.82,152.42,353.14,43.42
2026-09-07,242.91,151.8,154.28,353.09,43.35
2026-09-08,242.49,152.5,155.36,351.5,43.28
2026-09-09,240.56,151.87,156.28,351.21,43.48
2026-09-10,237.52,152.5,156.82,349.87,43.56
