Date,Month,Port_Name,Vessels_In_Queue,Cargo_Traffic_KMT,Waiting_Days
2025-05-06,5,Dhamra Port,3,82.3,2.68
2025-05-06,5,Hay Point Coal Terminal,3,63.9,2.0
2025-05-06,5,Taboneo Anchorage,6,43.3,2.89
2025-05-07,5,Haldia Dock Complex,1,85.2,3.23
2025-05-07,5,Paradip Port,3,44.5,2.37
2025-05-07,5,Vizag Port,7,94.1,2.87
2025-05-07,5,Dhamra Port,8,101.0,3.08
2025-05-07,5,Hay Point Coal Terminal,5,101.2,2.55
2025-05-07,5,Taboneo Anchorage,7,90.2,2.73
2025-05-08,5,Haldia Dock Complex,4,75.6,3.87
2025-05-08,5,Paradip Port,2,90.8,2.52
2025-05-08,5,Vizag Port,2,86.5,1.99
2025-05-08,5,Dhamra Port,4,104.2,2.52
2025-05-08,5,Hay Point Coal Terminal,5,66.5,2.37
2025-05-08,5,Taboneo Anchorage,2,44.5,1.87
2025-05-09,5,Haldia Dock Complex,7,105.4,4.32
2025-05-09,5,Paradip Port,5,68.7,2.9
2025-05-09,5,Vizag Port,4,104.4,2.45
2025-05-09,5,Dhamra Port,4,78.0,2.54
2025-05-09,5,Hay Point Coal Terminal,5,94.6,2.39
2025-05-09,5,Taboneo Anchorage,8,37.9,2.84
2025-05-10,5,Haldia Dock Complex,5,105.8,4.03
2025-05-10,5,Paradip Port,3,98.3,2.8
2025-05-10,5,Vizag Port,9,104.7,2.95
2025-05-10,5,Dhamra Port,5,91.6,2.67
2025-05-10,5,Hay Point Coal Terminal,6,38.1,2.57
2025-05-10,5,Taboneo Anchorage,3,61.2,2.38
2025-05-11,5,Haldia Dock Complex,7,80.8,3.81
2025-05-11,5,Paradip Port,5,41.5,2.75
2025-05-11,5,Vizag Port,2,46.0,1.66
2025-05-11,5,Dhamra Port,5,38.9,2.39
2025-05-11,5,Hay Point Coal Terminal,2,42.4,1.84
2025-05-11,5,Taboneo Anchorage,4,93.6,2.21
2025-05-12,5,Haldia Dock Complex,4,55.9,3.7
2025-05-12,5,Paradip Port,3,80.5,2.8
2025-05-12,5,Vizag Port,3,54.2,2.19
2025-05-12,5,Dhamra Port,4,53.5,2.28
2025-05-12,5,Hay Point Coal Terminal,2,59.2,1.82
2025-05-12,5,Taboneo Anchorage,6,74.7,2.41
2025-05-13,5,Haldia Dock Complex,4,62.1,3.8
2025-05-13,5,Paradip Port,4,47.0,3.02
2025-05-13,5,Vizag Port,2,56.5,1.94
2025-05-13,5,Dhamra Port,7,48.3,2.48
2025-05-13,5,Hay Point Coal Terminal,6,59.3,2.6
2025-05-13,5,Taboneo Anchorage,3,77.8,1.64
2025-05-14,5,Haldia Dock Complex,3,60.2,3.33
2025-05-14,5,Paradip Port,9,88.6,3.75
2025-05-14,5,Vizag Port,3,77.4,2.16
2025-05-14,5,Dhamra Port,3,94.6,2.3
2025-05-14,5,Hay Point Coal Terminal,7,69.3,2.96
2025-05-14,5,Taboneo Anchorage,7,103.7,2.75
2025-05-15,5,Haldia Dock Complex,5,100.4,3.85
2025-05-15,5,Paradip Port,3,77.0,2.72
2025-05-15,5,Vizag Port,6,64.6,2.48
2025-05-15,5,Dhamra Port,6,60.9,2.63
2025-05-15,5,Hay Point Coal Terminal,6,78.2,3.13
2025-05-15,5,Taboneo Anchorage,3,86.2,2.26
2025-05-16,5,Haldia Dock Complex,6,103.3,4.1
2025-05-16,5,Paradip Port,4,98.6,3.05
2025-05-16,5,Vizag Port,3,60.1,1.9
2025-05-16,5,Dhamra Port,6,68.6,2.26
2025-05-16,5,Hay Point Coal Terminal,3,101.9,2.53
2025-05-16,5,Taboneo Anchorage,1,83.8,1.55
2025-05-17,5,Haldia Dock Complex,3,42.1,3.36
2025-05-17,5,Paradip Port,3,100.7,2.78
2025-05-17,5,Vizag Port,2,70.0,1.86
2025-05-17,5,Dhamra Port,6,49.1,2.52
2025-05-17,5,Hay Point Coal Terminal,6,47.2,2.67
2025-05-17,5,Taboneo Anchorage,1,52.6,2.02
2025-05-18,5,Haldia Dock Complex,2,93.6,3.57
2025-05-18,5,Paradip Port,2,88.0,2.33
2025-05-18,5,Vizag Port,6,36.9,2.1
2025-05-18,5,Dhamra Port,6,80.9,3.01
2025-05-18,5,Hay Point Coal Terminal,6,98.5,2.94
2025-05-18,5,Taboneo Anchorage,2,55.3,1.92
2025-05-19,5,Haldia Dock Complex,4,106.9,3.58
2025-05-19,5,Paradip Port,1,101.8,2.48
2025-05-19,5,Vizag Port,3,82.9,2.12
2025-05-19,5,Dhamra Port,0,45.9,1.68
2025-05-19,5,Hay Point Coal Terminal,8,73.4,2.85
2025-05-19,5,Taboneo Anchorage,4,87.8,2.43
2025-05-20,5,Haldia Dock Complex,6,38.2,3.91
2025-05-20,5,Paradip Port,3,91.5,2.4
2025-05-20,5,Vizag Port,1,88.4,2.34
2025-05-20,5,Dhamra Port,6,62.0,2.55
2025-05-20,5,Hay Point Coal Terminal,3,68.1,2.18
2025-05-20,5,Taboneo Anchorage,8,107.1,2.82
2025-05-21,5,Haldia Dock Complex,4,76.9,3.47
2025-05-21,5,Paradip Port,8,78.9,3.61
2025-05-21,5,Vizag Port,2,86.1,2.33
2025-05-21,5,Dhamra Port,3,59.0,1.92
2025-05-21,5,Hay Point Coal Terminal,4,98.6,2.59
2025-05-21,5,Taboneo Anchorage,10,66.3,3.19
2025-05-22,5,Haldia Dock Complex,3,56.7,3.23
2025-05-22,5,Paradip Port,1,107.1,2.33
2025-05-22,5,Vizag Port,6,66.1,3.04
2025-05-22,5,Dhamra Port,6,52.6,2.38
2025-05-22,5,Hay Point Coal Terminal,2,92.1,2.01
2025-05-22,5,Taboneo Anchorage,8,94.7,2.99
2025-05-23,5,Haldia Dock Complex,4,42.6,3.44
2025-05-23,5,Paradip Port,7,65.4,3.29
2025-05-23,5,Vizag Port,4,51.9,2.11
2025-05-23,5,Dhamra Port,8,99.3,3.09
2025-05-23,5,Hay Point Coal Terminal,10,99.4,3.31
2025-05-23,5,Taboneo Anchorage,6,56.7,2.56
2025-05-24,5,Haldia Dock Complex,7,90.8,4.31
2025-05-24,5,Paradip Port,6,57.7,3.0
2025-05-24,5,Vizag Port,3,80.7,2.09
2025-05-24,5,Dhamra Port,2,59.3,2.02
2025-05-24,5,Hay Point Coal Terminal,7,47.8,2.77
2025-05-24,5,Taboneo Anchorage,3,55.7,2.28
2025-05-25,5,Haldia Dock Complex,6,55.7,3.87
2025-05-25,5,Paradip Port,3,82.9,2.71
2025-05-25,5,Vizag Port,9,81.1,3.14
2025-05-25,5,Dhamra Port,3,85.4,2.37
2025-05-25,5,Hay Point Coal Terminal,3,77.9,2.36
2025-05-25,5,Taboneo Anchorage,2,41.2,1.73
2025-05-26,5,Haldia Dock Complex,7,70.6,4.05
2025-05-26,5,Paradip Port,6,59.5,2.92
2025-05-26,5,Vizag Port,3,41.7,1.81
2025-05-26,5,Dhamra Port,4,43.5,2.11
2025-05-26,5,Hay Point Coal Terminal,4,75.0,2.46
2025-05-26,5,Taboneo Anchorage,6,94.8,2.8
2025-05-27,5,Haldia Dock Complex,4,40.3,3.37
2025-05-27,5,Paradip Port,5,83.4,2.87
2025-05-27,5,Vizag Port,7,85.0,2.77
2025-05-27,5,Dhamra Port,7,98.4,2.56
2025-05-27,5,Hay Point Coal Terminal,7,78.6,3.09
2025-05-27,5,Taboneo Anchorage,5,105.9,2.91
2025-05-28,5,Haldia Dock Complex,5,73.1,4.05
2025-05-28,5,Paradip Port,4,59.4,2.35
2025-05-28,5,Vizag Port,4,41.3,2.17
2025-05-28,5,Dhamra Port,6,48.1,2.23
2025-05-28,5,Hay Point Coal Terminal,3,96.8,2.36
2025-05-28,5,Taboneo Anchorage,3,40.1,2.26
2025-05-29,5,Haldia Dock Complex,3,68.6,3.45
2025-05-29,5,Paradip Port,2,107.0,2.72
2025-05-29,5,Vizag Port,1,104.5,2.21
2025-05-29,5,Dhamra Port,4,38.2,2.21
2025-05-29,5,Hay Point Coal Terminal,5,84.4,2.74
2025-05-29,5,Taboneo Anchorage,8,38.2,2.71
2025-05-30,5,Haldia Dock Complex,7,83.4,4.15
2025-05-30,5,Paradip Port,10,67.4,3.7
2025-05-30,5,Vizag Port,3,59.4,1.84
2025-05-30,5,Dhamra Port,4,52.4,1.88
2025-05-30,5,Hay Point Coal Terminal,4,63.3,2.28
2025-05-30,5,Taboneo Anchorage,2,63.4,2.19
2025-05-31,5,Haldia Dock Complex,8,50.1,4.1
2025-05-31,5,Paradip Port,4,71.0,2.83
2025-05-31,5,Vizag Port,4,58.4,2.54
2025-05-31,5,Dhamra Port,3,85.0,2.38
2025-05-31,5,Hay Point Coal Terminal,3,76.8,2.46
2025-05-31,5,Taboneo Anchorage,4,95.0,2.41
2025-06-01,6,Haldia Dock Complex,8,122.9,5.58
2025-06-01,6,Paradip Port,6,118.7,3.78
2025-06-01,6,Vizag Port,3,109.6,2.99
2025-06-01,6,Dhamra Port,7,89.1,3.74
2025-06-01,6,Hay Point Coal Terminal,7,55.6,3.01
2025-06-01,6,Taboneo Anchorage,4,124.8,2.82
2025-06-02,6,Haldia Dock Complex,9,101.5,5.41
2025-06-02,6,Paradip Port,5,99.4,3.99
2025-06-02,6,Vizag Port,7,86.3,3.3
2025-06-02,6,Dhamra Port,5,127.3,3.34
2025-06-02,6,Hay Point Coal Terminal,4,82.6,2.45
2025-06-02,6,Taboneo Anchorage,10,126.5,4.03
2025-06-03,6,Haldia Dock Complex,7,64.7,4.77
2025-06-03,6,Paradip Port,9,96.2,4.49
2025-06-03,6,Vizag Port,3,50.5,2.6
2025-06-03,6,Dhamra Port,5,68.7,2.9
2025-06-03,6,Hay Point Coal Terminal,5,53.6,2.71
2025-06-03,6,Taboneo Anchorage,4,96.9,2.8
2025-06-04,6,Haldia Dock Complex,9,66.7,5.05
2025-06-04,6,Paradip Port,4,94.2,3.11
2025-06-04,6,Vizag Port,3,99.4,2.55
2025-06-04,6,Dhamra Port,5,79.2,2.94
2025-06-04,6,Hay Point Coal Terminal,11,72.4,3.79
2025-06-04,6,Taboneo Anchorage,7,118.8,3.63
2025-06-05,6,Haldia Dock Complex,3,116.8,4.47
2025-06-05,6,Paradip Port,5,57.4,3.7
2025-06-05,6,Vizag Port,4,140.9,3.3
2025-06-05,6,Dhamra Port,6,98.9,3.04
2025-06-05,6,Hay Point Coal Terminal,7,125.9,3.31
2025-06-05,6,Taboneo Anchorage,8,59.7,3.37
2025-06-06,6,Haldia Dock Complex,10,128.8,5.92
2025-06-06,6,Paradip Port,6,60.6,3.75
2025-06-06,6,Vizag Port,9,102.2,3.81
2025-06-06,6,Dhamra Port,4,71.7,2.83
2025-06-06,6,Hay Point Coal Terminal,7,107.1,3.28
2025-06-06,6,Taboneo Anchorage,2,121.1,2.48
2025-06-07,6,Haldia Dock Complex,4,79.4,4.51
2025-06-07,6,Paradip Port,10,107.5,4.27
2025-06-07,6,Vizag Port,6,103.7,3.59
2025-06-07,6,Dhamra Port,7,80.1,3.63
2025-06-07,6,Hay Point Coal Terminal,7,56.5,3.23
2025-06-07,6,Taboneo Anchorage,10,102.9,3.54
2025-06-08,6,Haldia Dock Complex,4,50.3,4.35
2025-06-08,6,Paradip Port,7,125.1,4.23
2025-06-08,6,Vizag Port,3,117.9,2.27
2025-06-08,6,Dhamra Port,8,53.5,3.24
2025-06-08,6,Hay Point Coal Terminal,5,120.9,3.45
2025-06-08,6,Taboneo Anchorage,2,54.0,2.32
2025-06-09,6,Haldia Dock Complex,6,111.7,5.07
2025-06-09,6,Paradip Port,6,110.8,3.96
2025-06-09,6,Vizag Port,6,62.5,2.87
2025-06-09,6,Dhamra Port,6,116.0,3.12
2025-06-09,6,Hay Point Coal Terminal,4,138.8,3.18
2025-06-09,6,Taboneo Anchorage,5,125.4,3.36
2025-06-10,6,Haldia Dock Complex,4,63.8,4.75
2025-06-10,6,Paradip Port,9,54.3,3.87
2025-06-10,6,Vizag Port,7,122.5,3.1
2025-06-10,6,Dhamra Port,10,130.3,3.99
2025-06-10,6,Hay Point Coal Terminal,5,133.8,3.03
2025-06-10,6,Taboneo Anchorage,9,108.9,3.78
2025-06-11,6,Haldia Dock Complex,4,101.7,5.07
2025-06-11,6,Paradip Port,8,93.2,4.11
2025-06-11,6,Vizag Port,7,127.3,3.44
2025-06-11,6,Dhamra Port,6,128.8,3.27
2025-06-11,6,Hay Point Coal Terminal,7,64.8,3.09
2025-06-11,6,Taboneo Anchorage,7,77.2,3.34
2025-06-12,6,Haldia Dock Complex,10,90.9,5.78
2025-06-12,6,Paradip Port,5,119.0,3.72
2025-06-12,6,Vizag Port,7,140.4,3.37
2025-06-12,6,Dhamra Port,6,71.2,3.27
2025-06-12,6,Hay Point Coal Terminal,2,105.4,2.42
2025-06-12,6,Taboneo Anchorage,7,55.6,2.91
2025-06-13,6,Haldia Dock Complex,6,54.1,4.84
2025-06-13,6,Paradip Port,7,89.3,4.13
2025-06-13,6,Vizag Port,10,97.2,3.74
2025-06-13,6,Dhamra Port,8,82.7,3.25
2025-06-13,6,Hay Point Coal Terminal,3,141.3,2.91
2025-06-13,6,Taboneo Anchorage,5,48.7,2.38
2025-06-14,6,Haldia Dock Complex,2,80.5,4.37
2025-06-14,6,Paradip Port,6,81.1,3.97
2025-06-14,6,Vizag Port,7,88.5,3.46
2025-06-14,6,Dhamra Port,6,109.1,3.21
2025-06-14,6,Hay Point Coal Terminal,2,106.0,2.49
2025-06-14,6,Taboneo Anchorage,5,54.8,2.89
2025-06-15,6,Haldia Dock Complex,7,109.1,5.24
2025-06-15,6,Paradip Port,5,61.6,3.61
2025-06-15,6,Vizag Port,2,94.7,2.46
2025-06-15,6,Dhamra Port,8,74.4,3.39
2025-06-15,6,Hay Point Coal Terminal,10,105.7,4.04
2025-06-15,6,Taboneo Anchorage,5,62.8,3.09
2025-06-16,6,Haldia Dock Complex,4,87.3,4.86
2025-06-16,6,Paradip Port,6,94.6,3.54
2025-06-16,6,Vizag Port,4,51.0,2.44
2025-06-16,6,Dhamra Port,3,134.4,2.85
2025-06-16,6,Hay Point Coal Terminal,9,85.0,3.68
2025-06-16,6,Taboneo Anchorage,7,66.7,2.78
2025-06-17,6,Haldia Dock Complex,5,103.7,4.83
2025-06-17,6,Paradip Port,9,51.8,3.79
2025-06-17,6,Vizag Port,8,123.9,3.67
2025-06-17,6,Dhamra Port,9,75.4,3.46
2025-06-17,6,Hay Point Coal Terminal,10,103.1,4.05
2025-06-17,6,Taboneo Anchorage,7,93.8,3.28
2025-06-18,6,Haldia Dock Complex,7,68.2,4.88
2025-06-18,6,Paradip Port,4,120.3,3.77
2025-06-18,6,Vizag Port,7,87.1,3.15
2025-06-18,6,Dhamra Port,4,139.7,3.07
2025-06-18,6,Hay Point Coal Terminal,6,55.0,2.65
2025-06-18,6,Taboneo Anchorage,8,109.5,3.39
2025-06-19,6,Haldia Dock Complex,8,108.0,5.38
2025-06-19,6,Paradip Port,8,95.7,3.98
2025-06-19,6,Vizag Port,3,119.9,2.72
2025-06-19,6,Dhamra Port,4,71.7,2.76
2025-06-19,6,Hay Point Coal Terminal,4,128.9,3.25
2025-06-19,6,Taboneo Anchorage,8,108.7,3.41
2025-06-20,6,Haldia Dock Complex,2,116.5,4.52
2025-06-20,6,Paradip Port,7,82.6,3.88
2025-06-20,6,Vizag Port,7,121.7,3.71
2025-06-20,6,Dhamra Port,8,61.1,3.24
2025-06-20,6,Hay Point Coal Terminal,8,83.3,3.07
2025-06-20,6,Taboneo Anchorage,3,49.9,2.52
2025-06-21,6,Haldia Dock Complex,6,92.6,4.97
2025-06-21,6,Paradip Port,7,121.9,4.17
2025-06-21,6,Vizag Port,3,76.2,2.65
2025-06-21,6,Dhamra Port,2,76.8,2.79
2025-06-21,6,Hay Point Coal Terminal,8,77.1,3.36
2025-06-21,6,Taboneo Anchorage,9,83.1,3.24
2025-06-22,6,Haldia Dock Complex,5,62.1,4.76
2025-06-22,6,Paradip Port,8,54.0,4.1
2025-06-22,6,Vizag Port,1,108.6,2.28
2025-06-22,6,Dhamra Port,6,125.5,3.3
2025-06-22,6,Hay Point Coal Terminal,4,90.8,2.94
2025-06-22,6,Taboneo Anchorage,9,105.0,3.75
2025-06-23,6,Haldia Dock Complex,10,63.5,5.78
2025-06-23,6,Paradip Port,7,48.9,3.66
2025-06-23,6,Vizag Port,7,57.2,3.05
2025-06-23,6,Dhamra Port,7,121.1,3.44
2025-06-23,6,Hay Point Coal Terminal,9,82.4,3.32
2025-06-23,6,Taboneo Anchorage,4,51.7,2.8
2025-06-24,6,Haldia Dock Complex,3,139.2,4.44
2025-06-24,6,Paradip Port,11,67.6,4.78
2025-06-24,6,Vizag Port,5,54.6,2.83
2025-06-24,6,Dhamra Port,9,75.1,3.67
2025-06-24,6,Hay Point Coal Terminal,2,121.5,2.57
2025-06-24,6,Taboneo Anchorage,5,118.0,3.15
2025-06-25,6,Haldia Dock Complex,9,65.4,5.43
2025-06-25,6,Paradip Port,9,122.9,4.31
2025-06-25,6,Vizag Port,5,116.6,3.06
2025-06-25,6,Dhamra Port,12,125.5,4.28
2025-06-25,6,Hay Point Coal Terminal,10,63.7,3.76
2025-06-25,6,Taboneo Anchorage,3,115.6,3.0
2025-06-26,6,Haldia Dock Complex,7,96.5,5.27
2025-06-26,6,Paradip Port,6,77.7,3.77
2025-06-26,6,Vizag Port,9,112.7,3.73
2025-06-26,6,Dhamra Port,6,54.6,2.84
2025-06-26,6,Hay Point Coal Terminal,5,83.9,3.0
2025-06-26,6,Taboneo Anchorage,6,74.5,3.17
2025-06-27,6,Haldia Dock Complex,6,86.7,5.11
2025-06-27,6,Paradip Port,5,73.8,3.73
2025-06-27,6,Vizag Port,5,139.3,3.14
2025-06-27,6,Dhamra Port,4,140.6,3.05
2025-06-27,6,Hay Point Coal Terminal,9,62.9,3.42
2025-06-27,6,Taboneo Anchorage,4,104.0,2.98
2025-06-28,6,Haldia Dock Complex,8,48.8,4.87
2025-06-28,6,Paradip Port,6,104.6,3.79
2025-06-28,6,Vizag Port,5,132.2,3.05
2025-06-28,6,Dhamra Port,3,118.3,2.7
2025-06-28,6,Hay Point Coal Terminal,9,107.2,3.86
2025-06-28,6,Taboneo Anchorage,6,83.4,3.29
2025-06-29,6,Haldia Dock Complex,11,127.2,5.79
2025-06-29,6,Paradip Port,3,95.1,2.97
2025-06-29,6,Vizag Port,6,63.4,3.18
2025-06-29,6,Dhamra Port,5,97.4,3.11
2025-06-29,6,Hay Point Coal Terminal,9,96.5,3.59
2025-06-29,6,Taboneo Anchorage,10,112.7,3.69
2025-06-30,6,Haldia Dock Complex,4,48.2,4.64
2025-06-30,6,Paradip Port,3,63.9,3.35
2025-06-30,6,Vizag Port,4,97.8,2.61
2025-06-30,6,Dhamra Port,3,140.1,3.07
2025-06-30,6,Hay Point Coal Terminal,8,87.5,3.5
2025-06-30,6,Taboneo Anchorage,4,61.7,2.89
2025-07-01,7,Haldia Dock Complex,6,49.7,5.27
2025-07-01,7,Paradip Port,3,117.5,3.21
2025-07-01,7,Vizag Port,11,55.3,3.97
2025-07-01,7,Dhamra Port,5,140.9,3.16
2025-07-01,7,Hay Point Coal Terminal,3,125.2,2.5
2025-07-01,7,Taboneo Anchorage,3,83.5,2.79
2025-07-02,7,Haldia Dock Complex,4,68.9,4.5
2025-07-02,7,Paradip Port,3,54.4,3.54
2025-07-02,7,Vizag Port,10,66.7,3.69
2025-07-02,7,Dhamra Port,10,67.4,3.73
2025-07-02,7,Hay Point Coal Terminal,6,55.4,2.8
2025-07-02,7,Taboneo Anchorage,9,66.3,3.79
2025-07-03,7,Haldia Dock Complex,8,56.5,4.89
2025-07-03,7,Paradip Port,3,132.4,3.8
2025-07-03,7,Vizag Port,4,134.2,3.01
2025-07-03,7,Dhamra Port,7,143.9,3.72
2025-07-03,7,Hay Point Coal Terminal,6,87.5,3.38
2025-07-03,7,Taboneo Anchorage,4,121.4,2.89
2025-07-04,7,Haldia Dock Complex,8,103.8,5.67
2025-07-04,7,Paradip Port,7,143.6,4.07
2025-07-04,7,Vizag Port,8,83.8,3.81
2025-07-04,7,Dhamra Port,6,115.7,3.28
2025-07-04,7,Hay Point Coal Terminal,4,122.8,3.32
2025-07-04,7,Taboneo Anchorage,8,136.4,3.85
2025-07-05,7,Haldia Dock Complex,4,88.6,4.68
2025-07-05,7,Paradip Port,11,134.1,4.57
2025-07-05,7,Vizag Port,6,141.6,3.48
2025-07-05,7,Dhamra Port,3,68.2,2.65
2025-07-05,7,Hay Point Coal Terminal,4,62.1,2.7
2025-07-05,7,Taboneo Anchorage,5,72.6,3.01
2025-07-06,7,Haldia Dock Complex,5,80.9,4.75
2025-07-06,7,Paradip Port,6,107.9,3.67
2025-07-06,7,Vizag Port,4,126.9,3.01
2025-07-06,7,Dhamra Port,12,95.0,3.95
2025-07-06,7,Hay Point Coal Terminal,9,60.1,3.5
2025-07-06,7,Taboneo Anchorage,7,102.8,3.11
2025-07-07,7,Haldia Dock Complex,3,127.3,4.76
2025-07-07,7,Paradip Port,6,101.5,3.77
2025-07-07,7,Vizag Port,7,73.3,3.32
2025-07-07,7,Dhamra Port,4,94.7,3.12
2025-07-07,7,Hay Point Coal Terminal,3,70.9,2.59
2025-07-07,7,Taboneo Anchorage,8,127.4,3.82
2025-07-08,7,Haldia Dock Complex,2,80.7,4.79
2025-07-08,7,Paradip Port,4,100.9,3.55
2025-07-08,7,Vizag Port,3,91.1,2.59
2025-07-08,7,Dhamra Port,7,122.2,3.53
2025-07-08,7,Hay Point Coal Terminal,5,49.8,2.82
2025-07-08,7,Taboneo Anchorage,3,140.3,3.21
2025-07-09,7,Haldia Dock Complex,11,140.5,6.13
2025-07-09,7,Paradip Port,5,81.0,3.85
2025-07-09,7,Vizag Port,6,63.6,2.8
2025-07-09,7,Dhamra Port,12,48.7,3.9
2025-07-09,7,Hay Point Coal Terminal,9,66.3,3.38
2025-07-09,7,Taboneo Anchorage,6,76.8,2.87
2025-07-10,7,Haldia Dock Complex,5,81.0,4.93
2025-07-10,7,Paradip Port,7,127.3,4.34
2025-07-10,7,Vizag Port,6,54.5,3.28
2025-07-10,7,Dhamra Port,3,64.6,2.69
2025-07-10,7,Hay Point Coal Terminal,9,53.1,3.33
2025-07-10,7,Taboneo Anchorage,7,81.7,3.64
2025-07-11,7,Haldia Dock Complex,4,92.8,4.91
2025-07-11,7,Paradip Port,8,137.6,4.28
2025-07-11,7,Vizag Port,4,63.5,2.75
2025-07-11,7,Dhamra Port,4,106.8,2.94
2025-07-11,7,Hay Point Coal Terminal,8,83.9,3.33
2025-07-11,7,Taboneo Anchorage,5,65.5,2.82
2025-07-12,7,Haldia Dock Complex,3,64.1,4.4
2025-07-12,7,Paradip Port,10,120.2,4.7
2025-07-12,7,Vizag Port,9,84.4,3.53
2025-07-12,7,Dhamra Port,6,74.1,3.13
2025-07-12,7,Hay Point Coal Terminal,3,117.9,3.1
2025-07-12,7,Taboneo Anchorage,6,105.9,2.99
2025-07-13,7,Haldia Dock Complex,6,77.5,4.44
2025-07-13,7,Paradip Port,5,85.7,3.83
2025-07-13,7,Vizag Port,1,111.5,2.28
2025-07-13,7,Dhamra Port,4,70.2,2.82
2025-07-13,7,Hay Point Coal Terminal,4,103.1,2.84
2025-07-13,7,Taboneo Anchorage,3,51.9,2.49
2025-07-14,7,Haldia Dock Complex,8,100.8,5.28
2025-07-14,7,Paradip Port,6,91.2,3.64
2025-07-14,7,Vizag Port,5,95.3,2.64
2025-07-14,7,Dhamra Port,6,62.3,2.88
2025-07-14,7,Hay Point Coal Terminal,4,51.3,2.97
2025-07-14,7,Taboneo Anchorage,6,87.5,2.97
2025-07-15,7,Haldia Dock Complex,8,112.4,5.29
2025-07-15,7,Paradip Port,11,89.0,4.45
2025-07-15,7,Vizag Port,9,126.6,3.92
2025-07-15,7,Dhamra Port,5,129.3,3.05
2025-07-15,7,Hay Point Coal Terminal,9,114.5,3.85
2025-07-15,7,Taboneo Anchorage,3,106.2,2.52
2025-07-16,7,Haldia Dock Complex,6,92.7,4.75
2025-07-16,7,Paradip Port,5,133.5,4.2
2025-07-16,7,Vizag Port,4,105.7,3.05
2025-07-16,7,Dhamra Port,8,113.2,3.52
2025-07-16,7,Hay Point Coal Terminal,2,74.1,2.6
2025-07-16,7,Taboneo Anchorage,4,111.8,2.73
2025-07-17,7,Haldia Dock Complex,3,127.8,4.74
2025-07-17,7,Paradip Port,5,116.4,3.86
2025-07-17,7,Vizag Port,2,99.9,2.72
2025-07-17,7,Dhamra Port,5,57.1,3.39
2025-07-17,7,Hay Point Coal Terminal,4,99.1,3.15
2025-07-17,7,Taboneo Anchorage,6,108.7,3.31
2025-07-18,7,Haldia Dock Complex,9,50.5,5.11
2025-07-18,7,Paradip Port,5,93.9,3.27
2025-07-18,7,Vizag Port,3,58.1,2.78
2025-07-18,7,Dhamra Port,5,72.2,3.37
2025-07-18,7,Hay Point Coal Terminal,9,115.4,3.32
2025-07-18,7,Taboneo Anchorage,3,121.6,3.02
2025-07-19,7,Haldia Dock Complex,8,59.6,5.18
2025-07-19,7,Paradip Port,4,111.2,3.57
