Date,Month,Corridor,Wave_Height_m,Wind_Speed_knots,Sea_Pressure_hPa,Delay_Days,Storm_Risk
2025-08-05,8,Indonesia to East Coast India,4.6,30.3,1002.5,4.65,Monsoon_High
2025-08-05,8,Australia to East Coast India,4.71,25.4,1000.4,4.76,Monsoon_High
2025-08-06,8,Indonesia to East Coast India,2.7,44.9,1001.5,4.69,Monsoon_High
2025-08-06,8,Australia to East Coast India,4.22,26.8,1006.7,4.56,Monsoon_High
2025-08-07,8,Indonesia to East Coast India,2.97,26.4,995.5,4.52,Monsoon_High
2025-08-07,8,Australia to East Coast India,2.65,39.8,1000.9,4.33,Monsoon_High
2025-08-08,8,Indonesia to East Coast India,3.71,32.1,1000.2,4.35,Monsoon_High
2025-08-08,8,Australia to East Coast India,2.92,41.8,1007.3,4.8,Monsoon_High
2025-08-09,8,Indonesia to East Coast India,3.36,28.2,1003.4,4.18,Monsoon_High
2025-08-09,8,Australia to East Coast India,2.86,38.5,1003.6,4.55,Monsoon_High
2025-08-10,8,Indonesia to East Coast India,2.56,27.1,998.0,3.9,Monsoon_High
2025-08-10,8,Australia to East Coast India,2.91,37.0,998.1,4.49,Monsoon_High
2025-08-11,8,Indonesia to East Coast India,2.73,27.6,1004.4,4.02,Monsoon_High
2025-08-11,8,Australia to East Coast India,3.41,37.4,997.7,4.78,Monsoon_High
2025-08-12,8,Indonesia to East Coast India,3.17,42.6,995.2,4.57,Monsoon_High
2025-08-12,8,Australia to East Coast India,4.55,40.8,999.4,5.71,Monsoon_High
2025-08-13,8,Indonesia to East Coast India,3.1,30.7,1002.7,4.43,Monsoon_High
2025-08-13,8,Australia to East Coast India,3.44,34.7,1000.7,4.33,Monsoon_High
2025-08-14,8,Indonesia to East Coast India,3.18,43.8,1004.9,5.16,Monsoon_High
2025-08-14,8,Australia to East Coast India,4.34,31.8,995.3,4.82,Monsoon_High
2025-08-15,8,Indonesia to East Coast India,3.12,34.5,1003.2,4.35,Monsoon_High
2025-08-15,8,Australia to East Coast India,4.42,44.6,1001.8,5.42,Monsoon_High
2025-08-16,8,Indonesia to East Coast India,2.89,28.3,995.2,3.75,Monsoon_High
2025-08-16,8,Australia to East Coast India,3.77,37.0,1005.8,4.97,Monsoon_High
2025-08-17,8,Indonesia to East Coast India,2.97,22.3,996.8,4.13,Monsoon_High
2025-08-17,8,Australia to East Coast India,4.03,26.0,1006.9,4.73,Monsoon_High
2025-08-18,8,Indonesia to East Coast India,3.46,30.8,1001.7,4.36,Monsoon_High
2025-08-18,8,Australia to East Coast India,3.89,27.6,1000.1,4.48,Monsoon_High
2025-08-19,8,Indonesia to East Coast India,3.16,30.2,1004.3,4.39,Monsoon_High
2025-08-19,8,Australia to East Coast India,3.59,37.3,1007.2,4.45,Monsoon_High
2025-08-20,8,Indonesia to East Coast India,4.18,26.9,995.4,4.64,Monsoon_High
2025-08-20,8,Australia to East Coast India,2.62,33.4,1002.8,3.91,Monsoon_High
2025-08-21,8,Indonesia to East Coast India,3.27,39.7,996.4,4.83,Monsoon_High
2025-08-21,8,Australia to East Coast India,3.64,37.8,1000.7,4.78,Monsoon_High
2025-08-22,8,Indonesia to East Coast India,3.07,40.8,1005.4,4.55,Monsoon_High
2025-08-22,8,Australia to East Coast India,3.86,30.3,996.2,4.74,Monsoon_High
2025-08-23,8,Indonesia to East Coast India,4.61,25.1,1007.4,4.34,Monsoon_High
2025-08-23,8,Australia to East Coast India,3.75,42.1,1004.5,5.06,Monsoon_High
2025-08-24,8,Indonesia to East Coast India,4.36,37.2,1004.0,5.01,Monsoon_High
2025-08-24,8,Australia to East Coast India,3.63,27.1,1007.8,4.43,Monsoon_High
2025-08-25,8,Indonesia to East Coast India,4.67,22.9,1004.2,4.68,Monsoon_High
2025-08-25,8,Australia to East Coast India,2.58,38.0,998.9,4.46,Monsoon_High
2025-08-26,8,Indonesia to East Coast India,4.63,44.3,1007.3,5.79,Monsoon_High
2025-08-26,8,Australia to East Coast India,4.44,29.3,1005.8,4.73,Monsoon_High
2025-08-27,8,Indonesia to East Coast India,2.59,35.7,998.0,4.11,Monsoon_High
2025-08-27,8,Australia to East Coast India,4.17,23.5,999.1,4.6,Monsoon_High
2025-08-28,8,Indonesia to East Coast India,3.74,40.2,999.1,5.18,Monsoon_High
2025-08-28,8,Australia to East Coast India,3.92,27.4,995.3,4.49,Monsoon_High
2025-08-29,8,Indonesia to East Coast India,4.5,22.5,1006.4,4.57,Monsoon_High
2025-08-29,8,Australia to East Coast India,4.34,45.0,999.6,5.49,Monsoon_High
2025-08-30,8,Indonesia to East Coast India,4.26,31.2,1001.2,4.95,Monsoon_High
2025-08-30,8,Australia to East Coast India,4.76,39.7,1000.4,5.45,Monsoon_High
2025-08-31,8,Indonesia to East Coast India,3.47,39.0,998.1,4.78,Monsoon_High
2025-08-31,8,Australia to East Coast India,3.16,28.8,998.0,4.04,Monsoon_High
2025-09-01,9,Indonesia to East Coast India,2.6,22.4,1007.8,3.27,Monsoon_High
2025-09-01,9,Australia to East Coast India,4.06,27.0,1007.3,4.23,Monsoon_High
2025-09-02,9,Indonesia to East Coast India,4.31,24.1,1000.4,4.89,Monsoon_High
2025-09-02,9,Australia to East Coast India,2.88,44.8,998.0,4.76,Monsoon_High
2025-09-03,9,Indonesia to East Coast India,4.67,36.9,1002.9,4.9,Monsoon_High
2025-09-03,9,Australia to East Coast India,2.91,27.1,997.4,4.03,Monsoon_High
2025-09-04,9,Indonesia to East Coast India,4.29,30.1,995.8,4.65,Monsoon_High
2025-09-04,9,Australia to East Coast India,4.24,38.0,997.0,4.86,Monsoon_High
2025-09-05,9,Indonesia to East Coast India,4.38,27.2,997.9,5.08,Monsoon_High
2025-09-05,9,Australia to East Coast India,3.83,24.1,1006.4,4.43,Monsoon_High
2025-09-06,9,Indonesia to East Coast India,3.11,25.0,1006.6,4.1,Monsoon_High
2025-09-06,9,Australia to East Coast India,3.77,24.0,1000.3,4.42,Monsoon_High
2025-09-07,9,Indonesia to East Coast India,3.36,28.0,1004.4,4.07,Monsoon_High
2025-09-07,9,Australia to East Coast India,3.01,37.7,996.0,4.59,Monsoon_High
2025-09-08,9,Indonesia to East Coast India,4.46,33.4,1001.2,5.19,Monsoon_High
2025-09-08,9,Australia to East Coast India,3.3,37.6,1002.4,4.77,Monsoon_High
2025-09-09,9,Indonesia to East Coast India,3.11,42.2,1005.4,5.04,Monsoon_High
2025-09-09,9,Australia to East Coast India,4.49,38.3,1005.9,5.3,Monsoon_High
2025-09-10,9,Indonesia to East Coast India,4.1,37.6,1003.0,4.89,Monsoon_High
2025-09-10,9,Australia to East Coast India,4.53,42.1,995.4,5.51,Monsoon_High
2025-09-11,9,Indonesia to East Coast India,4.4,25.0,999.4,4.37,Monsoon_High
2025-09-11,9,Australia to East Coast India,4.38,41.1,1001.6,5.41,Monsoon_High
2025-09-12,9,Indonesia to East Coast India,2.51,28.6,1003.0,3.94,Monsoon_High
2025-09-12,9,Australia to East Coast India,3.1,36.6,1002.0,4.59,Monsoon_High
2025-09-13,9,Indonesia to East Coast India,4.29,24.5,1004.9,4.55,Monsoon_High
2025-09-13,9,Australia to East Coast India,3.29,36.6,1007.1,4.65,Monsoon_High
2025-09-14,9,Indonesia to East Coast India,2.74,43.6,1003.9,4.73,Monsoon_High
2025-09-14,9,Australia to East Coast India,4.13,23.5,1002.6,4.25,Monsoon_High
2025-09-15,9,Indonesia to East Coast India,3.3,36.3,995.6,4.71,Monsoon_High
2025-09-15,9,Australia to East Coast India,2.56,22.5,999.2,3.54,Monsoon_High
2025-09-16,9,Indonesia to East Coast India,3.62,39.7,1003.9,4.6,Monsoon_High
2025-09-16,9,Australia to East Coast India,4.79,31.8,1000.9,4.93,Monsoon_High
2025-09-17,9,Indonesia to East Coast India,2.88,40.3,1004.0,4.89,Monsoon_High
2025-09-17,9,Australia to East Coast India,3.13,43.9,997.0,5.21,Monsoon_High
2025-09-18,9,Indonesia to East Coast India,3.49,43.7,1000.5,4.84,Monsoon_High
2025-09-18,9,Australia to East Coast India,3.13,44.6,1000.3,5.32,Monsoon_High
2025-09-19,9,Indonesia to East Coast India,4.56,27.3,997.8,4.7,Monsoon_High
2025-09-19,9,Australia to East Coast India,3.35,41.9,1001.2,4.89,Monsoon_High
2025-09-20,9,Indonesia to East Coast India,4.73,26.3,1006.3,4.85,Monsoon_High
2025-09-20,9,Australia to East Coast India,4.44,39.5,1003.1,5.4,Monsoon_High
2025-09-21,9,Indonesia to East Coast India,2.8,22.7,1007.0,4.01,Monsoon_High
2025-09-21,9,Australia to East Coast India,3.61,24.7,996.6,4.28,Monsoon_High
2025-09-22,9,Indonesia to East Coast India,4.08,31.9,997.6,4.58,Monsoon_High
2025-09-22,9,Australia to East Coast India,3.84,28.2,1005.4,4.44,Monsoon_High
2025-09-23,9,Indonesia to East Coast India,3.21,32.5,995.2,4.37,Monsoon_High
2025-09-23,9,Australia to East Coast India,3.6,35.8,998.8,4.59,Monsoon_High
2025-09-24,9,Indonesia to East Coast India,4.1,41.8,1005.1,5.22,Monsoon_High
2025-09-24,9,Australia to East Coast India,2.74,27.6,1007.8,3.86,Monsoon_High
2025-09-25,9,Indonesia to East Coast India,2.83,33.5,1003.0,4.41,Monsoon_High
2025-09-25,9,Australia to East Coast India,2.52,29.5,1001.7,4.34,Monsoon_High
2025-09-26,9,Indonesia to East Coast India,2.7,30.1,995.4,4.05,Monsoon_High
2025-09-26,9,Australia to East Coast India,2.81,35.1,1004.0,4.23,Monsoon_High
2025-09-27,9,Indonesia to East Coast India,4.34,26.6,997.2,4.62,Monsoon_High
2025-09-27,9,Australia to East Coast India,4.12,22.7,1007.2,4.13,Monsoon_High
2025-09-28,9,Indonesia to East Coast India,2.62,34.4,1004.2,4.35,Monsoon_High
2025-09-28,9,Australia to East Coast India,4.34,29.8,1005.6,4.86,Monsoon_High
2025-09-29,9,Indonesia to East Coast India,2.68,42.6,1002.1,4.66,Monsoon_High
2025-09-29,9,Australia to East Coast India,3.98,34.1,1004.5,5.06,Monsoon_High
2025-09-30,9,Indonesia to East Coast India,2.69,23.4,998.2,3.54,Monsoon_High
2025-09-30,9,Australia to East Coast India,4.32,37.2,1001.5,4.98,Monsoon_High
2025-10-01,10,Indonesia to East Coast India,3.22,33.8,1001.2,3.25,Cyclone_Warning
2025-10-01,10,Australia to East Coast India,3.5,19.6,998.4,3.12,Cyclone_Warning
2025-10-02,10,Indonesia to East Coast India,2.57,28.2,1010.2,3.21,Cyclone_Warning
2025-10-02,10,Australia to East Coast India,2.94,25.6,1003.2,3.23,Cyclone_Warning
2025-10-03,10,Indonesia to East Coast India,4.17,18.9,1010.1,2.9,Cyclone_Warning
2025-10-03,10,Australia to East Coast India,3.6,28.7,1010.2,3.81,Cyclone_Warning
